Year,Subject,Movie,Nominations,Link
2015,Eddie Redmayne, The Theory of Everything,5,http://www.imdb.com/title/tt2980516/?ref_=nv_sr_1
2014,Matthew McConaughey, Dallas Buyers Club,6,http://www.imdb.com/title/tt0790636/?ref_=nv_sr_1
2013,Daniel Day-Lewis, Lincoln,12,http://www.imdb.com/title/tt0443272/?ref_=nv_sr_2
2012,Jean Dujardin, The Artist,10,http://www.imdb.com/title/tt1655442/?ref_=nv_sr_2
2011,Colin Firth, The King's Speech,12,http://www.imdb.com/title/tt1504320/?ref_=fn_al_tt_1
2010,Jeff Bridges, Crazy Heart,3,http://www.imdb.com/title/tt1263670/?ref_=nv_sr_1
2009,Sean Penn, Milk,8,http://www.imdb.com/title/tt1013753/?ref_=nv_sr_1
2008,Daniel Day-Lewis, There Will Be Blood,8,http://www.imdb.com/title/tt0469494/?ref_=nv_sr_1
2007,Forest Whitaker, The Last King of Scotland, ,http://www.imdb.com/title/tt0455590/?ref_=nv_sr_1
2006,Philip Seymour Hoffman, Capote,5,http://www.imdb.com/title/tt0379725/?ref_=nv_sr_1
2005,Jamie Fox, Ray,6,http://www.imdb.com/title/tt0350258/?ref_=fn_al_tt_1
2004,Sean Penn, Mystic River,6,http://www.imdb.com/title/tt0327056/?ref_=nv_sr_1
2003,Adrien Brody, The Pianist,7,http://www.imdb.com/title/tt0253474/?ref_=nv_sr_1
2002,Denzel Washington, Training Day,2,http://www.imdb.com/title/tt0139654/?ref_=nv_sr_1
2001,Russell Crowe, Gladiator,12,http://www.imdb.com/title/tt0172495/?ref_=nv_sr_1
2000,Kevin Spacey, American Beauty,8,http://www.imdb.com/title/tt0169547/?ref_=nv_sr_1
1999,Roberto Benigni, Life Is Beautiful,7,http://www.imdb.com/title/tt0118799/?ref_=nv_sr_1
1998,Jack Nicholson, As Good As It Gets,7,http://www.imdb.com/title/tt0119822/?ref_=nv_sr_1
1997,Geoffrey Rush, Shine,7,http://www.imdb.com/title/tt0117631/?ref_=nv_sr_1
1996,Nicolas Cage, Leaving Las Vegas,4,http://www.imdb.com/title/tt0113627/?ref_=nv_sr_1
1995,Tom Hanks, Forrest Gump,13,http://www.imdb.com/title/tt0109830/?ref_=nv_sr_1
1994,Tom Hanks, Philadelphia,5,http://www.imdb.com/title/tt0107818/?ref_=fn_al_tt_2
1993,Al Pacino, Scent of a Woman,4,http://www.imdb.com/title/tt0105323/?ref_=nv_sr_1
1992,Anthony Hopkins, The Silence of the Lambs,7,http://www.imdb.com/title/tt0102926/?ref_=nv_sr_1
1991,Jeremy Irons, Reversal of Fortune,3,http://www.imdb.com/title/tt0100486/?ref_=nv_sr_1
1990,Daniel Day-Lewis, My Left Foot,5,http://www.imdb.com/title/tt0097937/?ref_=nv_sr_1
1989,Dustin Hoffman, Rain Man,8,http://www.imdb.com/title/tt0095953/?ref_=nv_sr_1
1988,Michael Douglas, Wall Street, ,http://www.imdb.com/title/tt0094291/?ref_=nv_sr_1
1987,Paul Newman, The Color of Money,4,http://www.imdb.com/title/tt0090863/?ref_=nv_sr_1
1986,William Hurt, Kiss of the Spider Woman,4,http://www.imdb.com/title/tt0089424/?ref_=nv_sr_1
1985,F. Murray Abraham, Amadeus,11,http://www.imdb.com/title/tt0086879/?ref_=nv_sr_1
1984,Robert Duvall, Tender Mercies,5,http://www.imdb.com/title/tt0086423/?ref_=nv_sr_1
1983,Ben Kingsley, Gandhi,11,http://www.imdb.com/title/tt0083987/?ref_=nv_sr_1
1982,Henry Fonda, On Golden Pond,10,http://www.imdb.com/title/tt0082846/?ref_=nv_sr_1
1981,Robert De Niro, Raging Bull,8,http://www.imdb.com/title/tt0081398/?ref_=nv_sr_1
1980,Dustin Hoffman, Kramer vs. Kramer,9,http://www.imdb.com/title/tt0079417/?ref_=nv_sr_2
1979,Jon Voight, Coming Home,8,http://www.imdb.com/title/tt0077362/?ref_=nv_sr_1
1978,Richard Dreyfuss, The Goodbye Girl,5,http://www.imdb.com/title/tt0076095/?ref_=nv_sr_1
1977,Peter Finch, Network,10,http://www.imdb.com/title/tt0074958/?ref_=nv_sr_2
1976,Jack Nicholson, One Flew Over the Cuckoo's Nest,9,http://www.imdb.com/title/tt0073486/?ref_=nv_sr_1
1975,Art Carney, Harry and Tonto,2,http://www.imdb.com/title/tt0071598/?ref_=fn_al_tt_1
1974,Jack Lemmon, Save the Tiger,3,http://www.imdb.com/title/tt0070640/?ref_=fn_al_tt_1
1973,Marlon Brando, The Godfather,11,http://www.imdb.com/title/tt0068646/?ref_=nv_sr_1
1972,Gene Hackman, The French Connection,8,http://www.imdb.com/title/tt0067116/?ref_=nv_sr_1
1971,George C. Scott, Patton,10,http://www.imdb.com/title/tt0066206/?ref_=nv_sr_5
1970,John Wayne, True Grit,2,http://www.imdb.com/title/tt1403865/?ref_=nv_sr_1
