"","V1"
"mean_nomination","6.78313253012048"
"std_nomination","2.9135854735171"
"max_nomination","13"
"min_nomination","2"
"mean_rating","7.77241379310345"
"std_rating","0.516402955869536"
"max_rating","9.2"
"min_rating","5.8"
"mean_duration","122.413793103448"
"std_duration","26.1825220080282"
"max_duration","212"
"min_duration","85"
"mean_metacritic","80.7105263157895"
"std_metacritic","11.0622511142852"
"max_metacritic","100"
"min_metacritic","56"
"month","December"
"frequency","13"
"genre1","Drama"
"frequency","79"
"genre2","Biography"
"frequency","24"
"mean_sentiment","-1.1264367816092"
"std_sentiment","3.36121724110287"
"max_sentiment","8"
"min_sentiment","-11"
