Year,Actor,Movie,Nominations,Link
2015,Julianne Moore, Still Alice,,http://www.imdb.com/title/tt3316960/?ref_=nv_sr_1
2014,Cate Blanchett, Blue Jasmine,3,http://www.imdb.com/title/tt2334873/?ref_=nv_sr_1
2013,Jennifer Lawrence, Silver Linings Playbook,8,http://www.imdb.com/title/tt1045658/?ref_=nv_sr_1
2012,Meryl Streep, The Iron Lady,2,http://www.imdb.com/title/tt1007029/?ref_=nv_sr_1
2011,Natalie Portman, Black Swan,5,http://www.imdb.com/title/tt0947798/?ref_=nv_sr_1
2010,Sandra Bullock, The Blind Side,2,http://www.imdb.com/title/tt0878804/?ref_=nv_sr_1
2009,Kate Winslet, The Reader,5,http://www.imdb.com/title/tt0976051/?ref_=nv_sr_1
2008,Marion Cotillard, La vie en rose,3,http://www.imdb.com/title/tt0450188/?ref_=nv_sr_1
2007,Helen Mirren, The Queen,6,http://www.imdb.com/title/tt0436697/?ref_=nv_sr_1
2006,Reese Witherspoon, Walk the Line,5,http://www.imdb.com/title/tt0358273/?ref_=nv_sr_1
2005,Hilary Swank, Million Dollar Baby,7,http://www.imdb.com/title/tt0405159/?ref_=nv_sr_1
2004,Charlize Theron, Monster, ,http://www.imdb.com/title/tt0340855/?ref_=nv_sr_2
2003,Nicole Kidman, The Hours,9,http://www.imdb.com/title/tt0274558/?ref_=nv_sr_1
2002,Halle Berry, Monster's Ball,2,http://www.imdb.com/title/tt0285742/?ref_=nv_sr_1
2001,Julia Roberts, Erin Brockovich,5,http://www.imdb.com/title/tt0195685/?ref_=nv_sr_1
2000,Hilary Swank, Boys Don't Cry,2,http://www.imdb.com/title/tt0171804/?ref_=nv_sr_1
1999,Gwyneth Paltrow, Shakespeare in Love,13,http://www.imdb.com/title/tt0138097/?ref_=nv_sr_1
1998,Helen Hunt, As Good As It Gets,7,http://www.imdb.com/title/tt0119822/?ref_=nv_sr_1
1997,Frances McDormand, Fargo,7,http://www.imdb.com/title/tt0116282/?ref_=nv_sr_2
1996,Susan Sarandon, Dead Man Walking,4,http://www.imdb.com/title/tt0112818/?ref_=nv_sr_1
1995,Jessica Lange, Blue Sky, ,http://www.imdb.com/title/tt0109306/?ref_=nv_sr_1
1994,Holly Hunter, The Piano,8,http://www.imdb.com/title/tt0107822/?ref_=nv_sr_1
1993,Emma Thompson, Howards End,9,http://www.imdb.com/title/tt0104454/?ref_=nv_sr_1
1992,Jodie Foster, The Silence of the Lambs,7,http://www.imdb.com/title/tt0102926/?ref_=nv_sr_1
1991,Kathy Bates, Misery, ,http://www.imdb.com/title/tt0100157/?ref_=nv_sr_1
1990,Jessica Tandy, Driving Miss Daisy,9,http://www.imdb.com/title/tt0097239/?ref_=nv_sr_1
1989,Jodie Foster, The Accused, ,http://www.imdb.com/title/tt0094608/?ref_=nv_sr_1
1988,Cher, Moonstruck,6,http://www.imdb.com/title/tt0093565/?ref_=nv_sr_1
1987,Marlee Matlin,Children of a Lesser God,5,http://www.imdb.com/title/tt0090830/?ref_=nv_sr_1
1986,Geraldine Page, The Trip to Bountiful,2,http://www.imdb.com/title/tt0090203/?ref_=fn_al_tt_1
1985,Sally Field, Places in the Heart,7,http://www.imdb.com/title/tt0087921/?ref_=nv_sr_1
1984,Shirley MacLaine, Terms of Endearment,11,http://www.imdb.com/title/tt0086425/?ref_=nv_sr_1
1983,Meryl Streep, Sophie's Choice,5,http://www.imdb.com/title/tt0084707/?ref_=nv_sr_1
1982,Katharine Hepburn, On Golden Pond,10,http://www.imdb.com/title/tt0082846/?ref_=nv_sr_1
1981,Sissy Spacek, Coal Miner's Daughter,7,http://www.imdb.com/title/tt0080549/?ref_=nv_sr_1
1980,Sally Field, Norma Rae,4,http://www.imdb.com/title/tt0079638/?ref_=nv_sr_1
1979,Jane Fonda, Coming Home,8,http://www.imdb.com/title/tt0077362/?ref_=nv_sr_1
1978,Diane Keaton, Annie Hall,5,http://www.imdb.com/title/tt0075686/?ref_=nv_sr_1
1977,Faye Dunaway, Network,10,http://www.imdb.com/title/tt0074958/?ref_=nv_sr_2
1976,Louise Fletcher, One Flew Over the Cuckoo's Nest,9,http://www.imdb.com/title/tt0073486/?ref_=nv_sr_1
1975,Ellen Burstyn, Alice Doesn't Live Here Anymore,3,http://www.imdb.com/title/tt0071115/?ref_=nv_sr_1
1974,Glenda Jackson, A Touch of Class,5,http://www.imdb.com/title/tt0070819/?ref_=fn_al_tt_1
1973,Liza Minnelli, Cabaret,10,http://www.imdb.com/title/tt0068327/?ref_=nv_sr_1
1972,Jane Fonda, Klute,2,http://www.imdb.com/title/tt0067309/?ref_=nv_sr_1
1971,Glenda Jackson, Women in Love,4,http://www.imdb.com/title/tt0066579/?ref_=nv_sr_1
1970,Maggie Smith, The Prime of Miss Jean Brodie,2,http://www.imdb.com/title/tt0064840/?ref_=nv_sr_1
1969,Katharine Hepburn, The Lion in Winter,7,http://www.imdb.com/title/tt0063227/?ref_=nv_sr_1
1968,Katharine Hepburn,Guess Who's Coming to Dinner,10,http://www.imdb.com/title/tt0061735/?ref_=nv_sr_1
1967,Elizabeth Taylor, Who's Afraid of Virginia Woolf?,13,http://www.imdb.com/title/tt0061184/?ref_=nv_sr_1
1966,Julie Christie, Darling,5,http://www.imdb.com/title/tt0059084/?ref_=nv_sr_6
1965,Julie Andrews, Mary Poppins,13,http://www.imdb.com/title/tt0058331/?ref_=nv_sr_1
1964,Patricia Neal,Hud,7,http://www.imdb.com/title/tt0057163/?ref_=fn_al_tt_1
1963,Anne Bancroft, The Miracle Worker,5,http://www.imdb.com/title/tt0056241/?ref_=nv_sr_1
1962,Sophia Loren, Two Women, ,http://www.imdb.com/title/tt0054749/?ref_=nv_sr_1
1961,Elizabeth Taylor, Butterfield 8,2,http://www.imdb.com/title/tt0053622/?ref_=nv_sr_1
1960,Simone Signoret, Room at the Top,6,http://www.imdb.com/title/tt0053226/?ref_=fn_al_tt_2
1959,Susan Hayward, I Want to Live!,6,http://www.imdb.com/title/tt0051758/?ref_=nv_sr_1
1958,Joanne Woodward, The Three Faces of Eve, ,http://www.imdb.com/title/tt0051077/?ref_=fn_al_tt_1
1957,Ingrid Bergman, Anastasia,2,http://www.imdb.com/title/tt0048947/?ref_=nv_sr_5
1956,Anna Magnani, The Rose Tattoo,8,http://www.imdb.com/title/tt0048563/?ref_=fn_al_tt_1
1955,Grace Kelly, The Country Girl,7,http://www.imdb.com/title/tt0046874/?ref_=fn_al_tt_1
1954,Audrey Hepburn, Roman Holiday,10,http://www.imdb.com/title/tt0046250/?ref_=nv_sr_1
1953,Shirley Booth, Come Back Little Sheba,3,http://www.imdb.com/title/tt0044509/?ref_=fn_al_tt_1
1952,Vivien Leigh, A Streetcar Named Desire,12,http://www.imdb.com/title/tt0044081/?ref_=nv_sr_1
1951,Judy Holliday, Born Yesterday,5,http://www.imdb.com/title/tt0042276/?ref_=fn_al_tt_1
1950,Olivia de Havilland, The Heiress,8,http://www.imdb.com/title/tt0041452/?ref_=nv_sr_1
1949,Jane Wyman, Johnny Belinda,12,http://www.imdb.com/title/tt0040495/?ref_=nv_sr_1
1948,Loretta Young, The Farmer's Daughter,2,http://www.imdb.com/title/tt0039370/?ref_=fn_al_tt_1
1947,Olivia de Havilland, To Each His Own,2,http://www.imdb.com/title/tt0039040/?ref_=fn_al_tt_1
