"","V1"
"mean_nomination","6.36"
"std_nomination","3.19475922198943"
"max_nomination","13"
"min_nomination","2"
"mean_rating","7.55862068965517"
"std_rating","0.4636938956567"
"max_rating","8.7"
"min_rating","6.4"
"mean_duration","115.574712643678"
"std_duration","22.3563279548715"
"max_duration","238"
"min_duration","69"
"mean_metacritic","76.6"
"std_metacritic","9.88415660155878"
"max_metacritic","91"
"min_metacritic","53"
"month","December"
"frequency","13"
"genre1","Drama"
"frequency","77"
"genre2","Romance"
"frequency","28"
"mean_sentiment","-0.505747126436782"
"std_sentiment","2.94868343983119"
"max_sentiment","6"
"min_sentiment","-11"
