Year,Subject,Movie,Nominations,Link
2015,Alejandro González Iñárritu, Birdman,9,http://www.imdb.com/title/tt2562232/?ref_=nv_sr_1
2014,Alfonso Cuaron, Gravity,10,http://www.imdb.com/title/tt1454468/?ref_=nv_sr_1
2013,Ang Lee, Life of Pi,11,http://www.imdb.com/title/tt0454876/?ref_=nv_sr_1
2012,Michel Hazanavicius, The Artist,10,http://www.imdb.com/title/tt1655442/?ref_=nv_sr_2
2011,Tom Hooper, The King's Speech,12,http://www.imdb.com/title/tt1504320/?ref_=fn_al_tt_1
2010,Kathryn Bigelow, The Hurt Locker,9,http://www.imdb.com/title/tt0887912/?ref_=nv_sr_1
2009,Danny Boyle, Slumdog Millionaire,10,http://www.imdb.com/title/tt1010048/?ref_=nv_sr_1
2008,Ethan Coen  Joel Coen, No Country for Old Men,8,http://www.imdb.com/title/tt0477348/?ref_=nv_sr_1
2007,Martin Scorsese, The Departed,5,http://www.imdb.com/title/tt0407887/?ref_=nv_sr_1
2006,Ang Lee, Brokeback Mountain,8,http://www.imdb.com/title/tt0388795/?ref_=nv_sr_1
2005,Clint Eastwood, Million Dollar Baby,7,http://www.imdb.com/title/tt0405159/?ref_=nv_sr_1
2004,Peter Jackson, The Lord of the Rings: The Return of the King,11,http://www.imdb.com/title/tt0167260/?ref_=nv_sr_2
2003,Roman Polanski, The Pianist,7,http://www.imdb.com/title/tt0253474/?ref_=nv_sr_1
2002,Ron Howard, A Beautiful Mind,8,http://www.imdb.com/title/tt0268978/?ref_=nv_sr_1
2001,Steven Soderbergh, Traffic,5,http://www.imdb.com/title/tt0181865/?ref_=nv_sr_1
2000,Sam Mendes, American Beauty,8,http://www.imdb.com/title/tt0169547/?ref_=nv_sr_1
1999,Steven Spielberg, Saving Private Ryan,11,http://www.imdb.com/title/tt0120815/?ref_=nv_sr_1
1998,James Cameron, Titanic,14,http://www.imdb.com/title/tt0120338/?ref_=nv_sr_1
1997,Anthony Minghella, The English Patient,12,http://www.imdb.com/title/tt0116209/?ref_=nv_sr_1
1996,Mel Gibson, Braveheart,10,http://www.imdb.com/title/tt0112573/?ref_=nv_sr_1
1995,Robert Zemeckis, Forrest Gump,13,http://www.imdb.com/title/tt0109830/?ref_=nv_sr_1
1994,Steven Spielberg, Schindler's List,12,http://www.imdb.com/title/tt0108052/?ref_=nv_sr_1
1993,Clint Eastwood, Unforgiven,10,http://www.imdb.com/title/tt0105695/?ref_=nv_sr_2
1992,Jonathan Demme, The Silence of the Lambs,7,http://www.imdb.com/title/tt0102926/?ref_=nv_sr_1
1991,Kevin Costner, Dances with Wolves,12,http://www.imdb.com/title/tt0099348/?ref_=nv_sr_1
1990,Oliver Stone, Born on the Fourth of July,8,http://www.imdb.com/title/tt0096969/?ref_=nv_sr_1
1989,Barry Levinson, Rain Man,8,http://www.imdb.com/title/tt0095953/?ref_=nv_sr_1
1988,Bernardo Bertolucci, The Last Emperor,9,http://www.imdb.com/title/tt0093389/?ref_=nv_sr_1
