"","V1"
"mean_nomination","8.83720930232558"
"std_nomination","2.65179391052782"
"max_nomination","14"
"min_nomination","3"
"mean_rating","7.91860465116279"
"std_rating","0.540481621368327"
"max_rating","9"
"min_rating","6.1"
"mean_duration","137.523255813953"
"std_duration","33.8500940112296"
"max_duration","238"
"min_duration","85"
"mean_metacritic","83.8780487804878"
"std_metacritic","8.11848237650123"
"max_metacritic","100"
"min_metacritic","65"
"month","December"
"frequency","19"
"genre1","Drama"
"frequency","75"
"genre2","Romance"
"frequency","17"
"mean_sentiment","-0.476744186046512"
"std_sentiment","3.09354829276539"
"max_sentiment","6"
"min_sentiment","-11"
