Year,Movie,Nominations,Link
2015, Birdman,9,http://www.imdb.com/title/tt2562232/?ref_=nv_sr_1
2014, 12 Years a Slave,9,http://www.imdb.com/title/tt2024544/?ref_=nv_sr_1
2013, Argo,7,http://www.imdb.com/title/tt1024648/?ref_=nv_sr_1
2012, The Artist,10,http://www.imdb.com/title/tt1655442/?ref_=nv_sr_2
2011, The King's Speech,12,http://www.imdb.com/title/tt1504320/?ref_=fn_al_tt_1
2010, The Hurt Locker,9,http://www.imdb.com/title/tt0887912/?ref_=nv_sr_1
2009, Slumdog Millionaire,10,http://www.imdb.com/title/tt1010048/?ref_=nv_sr_1
2008, No Country for Old Men,8,http://www.imdb.com/title/tt0477348/?ref_=nv_sr_1
2007, The Departed,5,http://www.imdb.com/title/tt0407887/?ref_=nv_sr_1
2006, Crash,6,http://www.imdb.com/title/tt0375679/?ref_=nv_sr_1
2005, Million Dollar Baby,7,http://www.imdb.com/title/tt0405159/?ref_=nv_sr_1
2004, The Lord of the Rings: The Return of the King,11,http://www.imdb.com/title/tt0167260/?ref_=nv_sr_2
2003, Chicago,13,http://www.imdb.com/title/tt0299658/?ref_=nv_sr_4
2002, A Beautiful Mind,8,http://www.imdb.com/title/tt0268978/?ref_=nv_sr_1
2001, Gladiator,12,http://www.imdb.com/title/tt0172495/?ref_=nv_sr_1
2000, American Beauty,8,http://www.imdb.com/title/tt0169547/?ref_=nv_sr_1
1999, Shakespeare in Love,13,http://www.imdb.com/title/tt0138097/?ref_=nv_sr_1
1998, Titanic,14,http://www.imdb.com/title/tt0120338/?ref_=nv_sr_1
1997, The English Patient,12,http://www.imdb.com/title/tt0116209/?ref_=nv_sr_1
1996, Braveheart,10,http://www.imdb.com/title/tt0112573/?ref_=nv_sr_1
1995, Forrest Gump,13,http://www.imdb.com/title/tt0109830/?ref_=nv_sr_1
1994, Schindler's List,12,http://www.imdb.com/title/tt0108052/?ref_=nv_sr_1
1993, Unforgiven,10,http://www.imdb.com/title/tt0105695/?ref_=nv_sr_2
1992, The Silence of the Lambs,7,http://www.imdb.com/title/tt0102926/?ref_=nv_sr_1
1991, Dances with Wolves,12,http://www.imdb.com/title/tt0099348/?ref_=nv_sr_1
1990, Driving Miss Daisy,9,http://www.imdb.com/title/tt0097239/?ref_=nv_sr_1
1989, Rain Man,8,http://www.imdb.com/title/tt0095953/?ref_=nv_sr_1
1988, The Last Emperor,9,http://www.imdb.com/title/tt0093389/?ref_=nv_sr_1
1987, Platoon,8,http://www.imdb.com/title/tt0091763/?ref_=nv_sr_1
1986, Out of Africa,11,http://www.imdb.com/title/tt0089755/?ref_=nv_sr_1
1985, Amadeus,11,http://www.imdb.com/title/tt0086879/?ref_=nv_sr_1
1984, Terms of Endearment,11,http://www.imdb.com/title/tt0086425/?ref_=nv_sr_1
1983, Gandhi,11,http://www.imdb.com/title/tt0083987/?ref_=nv_sr_1
1982, Chariots of Fire,7,http://www.imdb.com/title/tt0082158/?ref_=nv_sr_1
1981, Ordinary People,6,http://www.imdb.com/title/tt0081283/?ref_=nv_sr_1
1980, Kramer vs. Kramer,9,http://www.imdb.com/title/tt0079417/?ref_=nv_sr_2
1979, The Deer Hunter,9,http://www.imdb.com/title/tt0077416/?ref_=nv_sr_1
1978, Annie Hall,5,http://www.imdb.com/title/tt0075686/?ref_=nv_sr_1
1977, Rocky,10,http://www.imdb.com/title/tt0075148/?ref_=nv_sr_1
1976, One Flew Over the Cuckoo's Nest,9,http://www.imdb.com/title/tt0073486/?ref_=nv_sr_1
1975, The Godfather: Part II,11,http://www.imdb.com/title/tt0071562/?ref_=nv_sr_2
1974, The Sting,10,http://www.imdb.com/title/tt0070735/?ref_=nv_sr_1
1973, The Godfather,11,http://www.imdb.com/title/tt0068646/?ref_=nv_sr_1
1972, The French Connection,8,http://www.imdb.com/title/tt0067116/?ref_=nv_sr_1
1971, Patton,10,http://www.imdb.com/title/tt0066206/?ref_=nv_sr_5
1970, Midnight Cowboy,7,http://www.imdb.com/title/tt0064665/?ref_=nv_sr_1
1969, Oliver!,11,http://www.imdb.com/title/tt0063385/?ref_=fn_al_tt_1
1968, In the Heat of the Night,7,http://www.imdb.com/title/tt0061811/?ref_=nv_sr_2
1967, A Man for All Seasons,8,http://www.imdb.com/title/tt0060665/?ref_=nv_sr_1
1966, The Sound of Music,10,http://www.imdb.com/title/tt0059742/?ref_=nv_sr_1
1965, My Fair Lady,12,http://www.imdb.com/title/tt0058385/?ref_=nv_sr_1
1964, Tom Jones,10,http://www.imdb.com/title/tt0057590/?ref_=nv_sr_2
1963, Lawrence of Arabia,10,http://www.imdb.com/title/tt0056172/?ref_=nv_sr_1
1962, West Side Story,11,http://www.imdb.com/title/tt0055614/?ref_=nv_sr_1
1961, The Apartment,10,http://www.imdb.com/title/tt0053604/?ref_=nv_sr_1
1960, Ben-Hur,12,http://www.imdb.com/title/tt0052618/?ref_=nv_sr_1
1959, Gigi,9,http://www.imdb.com/title/tt0051658/?ref_=nv_sr_3
1958, The Bridge on the River Kwai,8,http://www.imdb.com/title/tt0050212/?ref_=nv_sr_1
1957, Around the World in 80 Days,8,http://www.imdb.com/title/tt0048960/?ref_=nv_sr_2
1956, Marty,8,http://www.imdb.com/title/tt0048356/?ref_=nv_sr_4
1955, On the Waterfront,12,http://www.imdb.com/title/tt0047296/?ref_=nv_sr_1
1954, From Here to Eternity,13,http://www.imdb.com/title/tt0045793/?ref_=nv_sr_1
1953, The Greatest Show on Earth,5,http://www.imdb.com/title/tt0044672/?ref_=nv_sr_1
1952, An American in Paris,8,http://www.imdb.com/title/tt0043278/?ref_=fn_al_tt_1
1951, All About Eve,14,http://www.imdb.com/title/tt0042192/?ref_=nv_sr_1
1950, All the King's Men,7,http://www.imdb.com/title/tt0041113/?ref_=nv_sr_2
1949, Hamlet,7,http://www.imdb.com/title/tt0040416/?ref_=nv_sr_5
1948, Gentleman's Agreement,8,http://www.imdb.com/title/tt0039416/?ref_=nv_sr_1
1947, The Best Years of Our Lives,8,http://www.imdb.com/title/tt0036868/?ref_=nv_sr_1
1946, The Lost Weekend,7,http://www.imdb.com/title/tt0037884/?ref_=nv_sr_1
1945, Going My Way,10,http://www.imdb.com/title/tt0036872/?ref_=nv_sr_1
1944, Casablanca,8,http://www.imdb.com/title/tt0034583/?ref_=nv_sr_1
1943, Mrs. Miniver,12,http://www.imdb.com/title/tt0035093/?ref_=nv_sr_1
1942, How Green Was My Valley,10,http://www.imdb.com/title/tt0033729/?ref_=nv_sr_1
1941, Rebecca,11,http://www.imdb.com/title/tt0032976/?ref_=fn_al_tt_1
1940, Gone With the Wind,13,http://www.imdb.com/title/tt0031381/?ref_=nv_sr_1
1939, You Can't Take it With You,7,http://www.imdb.com/title/tt0030993/?ref_=nv_sr_1
1938, The Life of Emile Zola,10,http://www.imdb.com/title/tt0029146/?ref_=fn_al_tt_1
1937, The Great Ziegfeld,7,http://www.imdb.com/title/tt0027698/?ref_=nv_sr_1
1936, Mutiny on the Bounty,8,http://www.imdb.com/title/tt0026752/?ref_=nv_sr_2
1935, It Happened One Night,5,http://www.imdb.com/title/tt0025316/?ref_=nv_sr_1
1934, Cavalcade,4,http://www.imdb.com/title/tt0023876/?ref_=fn_al_tt_1
1932, Grand Hotel,-,http://www.imdb.com/title/tt0022958/?ref_=nv_sr_2
1931, Cimarron,7,http://www.imdb.com/title/tt0021746/?ref_=fn_al_tt_3
1930, All Quiet on the Western Front,4,http://www.imdb.com/title/tt0020629/?ref_=nv_sr_1
1929, The Broadway Melody,3,http://www.imdb.com/title/tt0019729/?ref_=fn_al_tt_1
1928, Wings,-,http://www.imdb.com/title/tt0018578/?ref_=nv_sr_6
