"","V1"
"mean_nomination","9.16470588235294"
"std_nomination","2.42431658913801"
"max_nomination","14"
"min_nomination","3"
"mean_rating","7.86551724137931"
"std_rating","0.596662731697693"
"max_rating","9.2"
"min_rating","6"
"mean_duration","138.632183908046"
"std_duration","31.5712980272997"
"max_duration","238"
"min_duration","90"
"mean_metacritic","83.75"
"std_metacritic","9.26186003360293"
"max_metacritic","100"
"min_metacritic","64"
"month","December"
"frequency","18"
"genre1","Drama"
"frequency","75"
"genre2","Romance"
"frequency","18"
"mean_sentiment","-0.609195402298851"
"std_sentiment","3.0436984916193"
"max_sentiment","6"
"min_sentiment","-11"
